address,name,type,category
0x0000000000000000000000000000000000000000,null address,eoa,burner
0x9BC4a93883C522D3C79c81c2999Aab52E2268d03,stake main distribution contract,contract,stake
0x3cFE51b61E25750ab1426b0072e5D0cc5C30aAfA,stake private sale distribution contract,contract,stake
0x0218B706898d234b85d2494DF21eB0677EaEa918,stake advisors distribution contract,contract,stake
0x86edd0c110D1Fc7F8A5e1108623b3B1B4E3740f9,stake ecosystem fund and foundation rewards,contract,stake
0x0DF05ADaC0159e215111696339AD4998e5871B3D,stake public sale contract and liquidity fund,contract,stake
0x1DDF0976Ac842C696d01a86b39d25b067Ed8C7ff,stake balancer pool,contract,dex
0x3B3d4EeFDc603b232907a7f3d0Ed1Eea5C62b5f7,stake uniswap pool,contract,dex
0xecbCd6D7264e3c9eAc24C7130Ed3cd2B38F5A7AD,stake easy staking proxy address,contract,stake
0x00000000219ab540356cBB839Cbe05303d7705Fa,eth2 deposit contract,contract,eth 2.0
0xA910f92ACdAf488fa6eF02174fb86208Ad7722ba,polo warm wallet 4,eoa,cex
0x88ad09518695c6c3712AC10a214bE5109a655671,stake omni bridge,contract,stake
0x4aa42145Aa6Ebf72e164C9bBC74fbD3788045016,stake xdai bridge,contract,stake
0x564286362092D8e7936f0549571a803B203aAceD,binance warm wallet 3,eoa,cex
0x986a2fCa9eDa0e06fBf7839B89BfC006eE2a23Dd,bitmax warm wallet 3,eoa,cex
0x4B1a99467a284Cc690e3237bC69105956816f762,bitmax warm wallet 2,eoa,cex
0x274F3c32C90517975e29Dfc209a23f315c1e5Fc7,hotbit warm wallet,eoa,cex
0x4570b4fAF71E23942B8B9F934b47ccEdF7540162,moloch dao,contract,multisig
0x3B29C6e356f9445b693aBb5df42FBC932062E0Fb,spankchain multisig,contract,multisig
0xd24400ae8BfEBb18cA49Be86258a3C749cf46853,gemini warm wallet,eoa,cex
0x267be1C1D684F78cb4F6a176C4911b741E4Ffdc0,kraken warm wallet 4,eoa,cex
0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,binance warm wallet,eoa,cex
0xab56B87B9288a9a236EF38e762Eb324Dbe5E49f8,stake bancor converter,contract,bancor
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,uniswap router 2,contract,dex
0xf164fC0Ec4E93095b804a4795bBe1e041497b92a,uniswap router,contract,dex
0xD291328a6c202c5B18dCB24f279f69dE1E065f70,zerion SDK core,contract,smart wallet
0xE83554B397BdA8ECAE7FEE5aeE532e83Ee9eB29D,zapperfi uniswapv2 zapin general v2 4 2,contract,defi
0x0286Ab4C526C0F28EC31dBb08755C999f441A58F,zapperfi uniswapv2 zapin general v2 4 1,contract,defi
0x16D4F26C15f3658ec65B1126ff27DD3dF2a2996b,uniswap v2 migrator,contract,dex
0xB24763b5451f8E7e218738a5d85471b6394e505e,one split wrap,contract,defi
0xce971c58aD4CBa35b6BDacae6083976d5F3656f3,unknown,contract,unknown
0x79B6C6F8634ea477ED725eC23b7b6Fcb41F00E58,zapperfi uniswapv2 zapout general v2 1,contract,defi
0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,zapperfi uniswapv2 zapout general v2,contract,defi
0x00c94151e71D564a60fe43fD7E9C88CAdf8Ea087,DSProxy #159436,contract,maker
0xC62BC272187e0Fd48ed126B99ABD6e7943707E64,stake vc,eoa,stake
0x876EabF441B2EE5B5b0554Fd502a8E0600950cFa,bitfinex warm wallet 3,eoa,cex
0x2bddEd18E2CA464355091266B7616956944ee7eE,super crazy whale lol,eoa,unknown
0x4920F22B632bFAa40aF8D39C31D9607809485952,super crazy whale lol,eoa,unknown
0xA7EFAe728D2936e78BDA97dc267687568dD593f3.OKEX warm wallet 3,eoa,cex
0xD551234Ae421e3BCBA99A0Da6d736074f22192FF,binance warm wallet2,eoa,cex
0x86a6a0080b1A4c9390416CF73FfB02738D94f8D6,super crazy whale lol,eoa,unknown
0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5,cETH token contract,contract,compound
0x0Ae055097C6d159879521C384F1D2123D1f195e6,stake token contract,contract,stake
0xFa52274DD61E1643d2205169732f29114BC240b3,kraken warm wallet 5,contract,cex
0x111111125434b319222CdBf8C261674aDB56F3ae,1inch.exchange v2,contract,dex
0xa94a53C506d603EC275Fd4BE265E4E0d2F2AAF08,mojmir stake community?,eoa,stake
0xE85713757197cbBE6b8545a86c3C54341CD67c7F,quicksand.eth,eoa,stake